&,-l -> <1>,<2>	confidence:0.84472049689441
<,<1>,ll -> <2>	confidence:0.9076923076923077
<,ll -> <1>,<2>	confidence:0.9076923076923077
<,<2>,rm -> <1>	confidence:1.0
<,<1>,rm -> <2>	confidence:0.9230769230769231
<,rm -> <1>,<2>	confidence:0.9230769230769231
<,cd,ll -> <1>	confidence:1.0
<,<1>,ll -> cd	confidence:0.9769230769230769
<,ll -> <1>,cd	confidence:0.9769230769230769
<,cd,ls -> <1>	confidence:1.0
<,<1>,ls -> cd	confidence:0.9618320610687023
<,ls -> <1>,cd	confidence:0.9618320610687023
<,cd,rm -> <1>	confidence:1.0
<,<1>,rm -> cd	confidence:0.9538461538461539
<,rm -> <1>,cd	confidence:0.9538461538461539
<,cd,ll -> <2>	confidence:0.9133858267716536
<,<2>,ll -> cd	confidence:0.9830508474576272
<,ll -> <2>,cd	confidence:0.8923076923076924
<,cd,rm -> <2>	confidence:0.9354838709677419
<,<2>,rm -> cd	confidence:0.9666666666666667
<,rm -> <2>,cd	confidence:0.8923076923076924
<2>,<3>,cd -> <1>	confidence:1.0
<2>,<3> -> <1>,cd	confidence:0.9755244755244755
<1>,<2>,<3> -> cd	confidence:0.9755244755244755
<2>,<3>,cp -> <1>	confidence:1.0
<1>,<3>,cp -> <2>	confidence:0.9776119402985075
<3>,cp -> <1>,<2>	confidence:0.9776119402985075
<2>,<3>,ll -> <1>	confidence:1.0
<1>,<3>,ll -> <2>	confidence:0.9067357512953368
<3>,ll -> <1>,<2>	confidence:0.9067357512953368
<2>,<3>,ls -> <1>	confidence:1.0
<2>,<3>,mv -> <1>	confidence:1.0
<1>,<3>,mv -> <2>	confidence:0.9934640522875817
<3>,mv -> <1>,<2>	confidence:0.9934640522875817
<2>,<3>,rm -> <1>	confidence:1.0
<1>,<3>,rm -> <2>	confidence:0.8923766816143498
<3>,rm -> <1>,<2>	confidence:0.8923766816143498
<2>,<3>,vi -> <1>	confidence:1.0
<1>,<3>,vi -> <2>	confidence:0.8634146341463415
<3>,vi -> <1>,<2>	confidence:0.8634146341463415
<2>,>,cd -> <1>	confidence:1.0
<1>,>,cd -> <2>	confidence:0.8992248062015504
>,cd -> <1>,<2>	confidence:0.8992248062015504
> -> <1>,<2>,cd	confidence:0.8635235732009926
<1>,> -> <2>,cd	confidence:0.8635235732009926
<2>,> -> <1>,cd	confidence:0.9802816901408451
<1>,<2>,> -> cd	confidence:0.9802816901408451
<2>,>,cp -> <1>	confidence:1.0
<1>,>,cp -> <2>	confidence:0.9880239520958084
>,cp -> <1>,<2>	confidence:0.9880239520958084
<2>,>,grep -> <1>	confidence:1.0
<1>,>,grep -> <2>	confidence:0.9666666666666667
>,grep -> <1>,<2>	confidence:0.9666666666666667
<2>,>,ll -> <1>	confidence:1.0
<1>,>,ll -> <2>	confidence:0.9285714285714286
>,ll -> <1>,<2>	confidence:0.9285714285714286
<2>,>,ls -> <1>	confidence:1.0
<1>,>,ls -> <2>	confidence:0.8808510638297873
>,ls -> <1>,<2>	confidence:0.8808510638297873
<2>,>,mv -> <1>	confidence:1.0
<1>,>,mv -> <2>	confidence:0.9941176470588236
>,mv -> <1>,<2>	confidence:0.9941176470588236
<2>,>,rm -> <1>	confidence:1.0
<1>,>,rm -> <2>	confidence:0.9042553191489362
>,rm -> <1>,<2>	confidence:0.9042553191489362
<2>,>,vi -> <1>	confidence:1.0
<1>,>,vi -> <2>	confidence:0.9196787148594378
>,vi -> <1>,<2>	confidence:0.9196787148594378
<2>,>,| -> <1>	confidence:1.0
<1>,>,| -> <2>	confidence:0.9590163934426229
>,| -> <1>,<2>	confidence:0.9590163934426229
<2>,a.out,cd -> <1>	confidence:1.0
<2>,a.out -> <1>,cd	confidence:1.0
<1>,<2>,a.out -> cd	confidence:1.0
<2>,cat,cd -> <1>	confidence:1.0
<1>,cat,cd -> <2>	confidence:0.8095238095238095
cat,cd -> <1>,<2>	confidence:0.8095238095238095
<2>,cat -> <1>,cd	confidence:0.9577464788732394
<1>,<2>,cat -> cd	confidence:0.9577464788732394
<2>,cat,cp -> <1>	confidence:1.0
<1>,cat,cp -> <2>	confidence:1.0
cat,cp -> <1>,<2>	confidence:1.0
<2>,cat,ll -> <1>	confidence:1.0
<1>,cat,ll -> <2>	confidence:0.8628318584070797
cat,ll -> <1>,<2>	confidence:0.8628318584070797
<2>,cat,ls -> <1>	confidence:1.0
<2>,cat,mv -> <1>	confidence:1.0
<1>,cat,mv -> <2>	confidence:0.9857142857142858
cat,mv -> <1>,<2>	confidence:0.9857142857142858
<2>,cat,rm -> <1>	confidence:1.0
<1>,cat,rm -> <2>	confidence:0.8872549019607843
cat,rm -> <1>,<2>	confidence:0.8872549019607843
<2>,cat,vi -> <1>	confidence:1.0
<1>,cat,vi -> <2>	confidence:0.8558558558558559
cat,vi -> <1>,<2>	confidence:0.8558558558558559
<2>,cd,chmod -> <1>	confidence:1.0
<1>,cd,chmod -> <2>	confidence:0.9956331877729258
cd,chmod -> <1>,<2>	confidence:0.9956331877729258
<1>,<2>,chmod -> cd	confidence:0.946058091286307
<2>,chmod -> <1>,cd	confidence:0.9344262295081968
<1>,chmod -> <2>,cd	confidence:0.9421487603305785
chmod -> <1>,<2>,cd	confidence:0.9306122448979591
<2>,cd,clear -> <1>	confidence:1.0
<1>,<2>,clear -> cd	confidence:0.8156424581005587
<2>,cd,cp -> <1>	confidence:1.0
<1>,cd,cp -> <2>	confidence:0.995475113122172
cd,cp -> <1>,<2>	confidence:0.995475113122172
<1>,<2>,cp -> cd	confidence:0.9734513274336283
<2>,cp -> <1>,cd	confidence:0.9720176730486009
<1>,cp -> <2>,cd	confidence:0.9691629955947136
cp -> <1>,<2>,cd	confidence:0.967741935483871
<2>,cd,ct -> <1>	confidence:1.0
<1>,cd,ct -> <2>	confidence:0.852112676056338
cd,ct -> <1>,<2>	confidence:0.8461538461538461
<1>,<2>,ct -> cd	confidence:0.9603174603174603
<2>,ct -> <1>,cd	confidence:0.952755905511811
<2>,cd,date -> <1>	confidence:1.0
<1>,<2>,date -> cd	confidence:0.8924050632911392
<2>,date -> <1>,cd	confidence:0.88125
<2>,cd,diff -> <1>	confidence:1.0
<1>,cd,diff -> <2>	confidence:0.9943502824858758
cd,diff -> <1>,<2>	confidence:0.9943502824858758
<1>,<2>,diff -> cd	confidence:0.9777777777777777
<2>,diff -> <1>,cd	confidence:0.9777777777777777
<1>,diff -> <2>,cd	confidence:0.9723756906077348
diff -> <1>,<2>,cd	confidence:0.9723756906077348
<2>,cd,dir -> <1>	confidence:1.0
<1>,<2>,dir -> cd	confidence:0.984375
<2>,dir -> <1>,cd	confidence:0.9742268041237113
<2>,cd,elm -> <1>	confidence:1.0
<1>,<2>,elm -> cd	confidence:0.8235294117647058
<2>,cd,emacs -> <1>	confidence:1.0
<1>,<2>,emacs -> cd	confidence:0.8612244897959184
<2>,cd,exit -> <1>	confidence:1.0
<1>,<2>,exit -> cd	confidence:0.8577405857740585
<2>,exit -> <1>,cd	confidence:0.80078125
<2>,cd,f -> <1>	confidence:1.0
<1>,<2>,f -> cd	confidence:0.8133333333333334
<2>,f -> <1>,cd	confidence:0.8133333333333334
<2>,cd,fg -> <1>	confidence:1.0
<1>,<2>,fg -> cd	confidence:0.8537859007832899
<2>,fg -> <1>,cd	confidence:0.8320610687022901
<2>,cd,findall -> <1>	confidence:1.0
<1>,<2>,findall -> cd	confidence:0.8579881656804734
<2>,findall -> <1>,cd	confidence:0.8285714285714286
<2>,cd,finger -> <1>	confidence:1.0
<2>,cd,grep -> <1>	confidence:1.0
<1>,cd,grep -> <2>	confidence:0.9161676646706587
cd,grep -> <1>,<2>	confidence:0.9161676646706587
<1>,<2>,grep -> cd	confidence:0.9035433070866141
<2>,grep -> <1>,cd	confidence:0.8947368421052632
<2>,cd,head -> <1>	confidence:1.0
<1>,cd,head -> <2>	confidence:0.8933333333333333
cd,head -> <1>,<2>	confidence:0.8933333333333333
<1>,<2>,head -> cd	confidence:0.9710144927536232
<2>,head -> <1>,cd	confidence:0.9710144927536232
<1>,head -> <2>,cd	confidence:0.8375
head -> <1>,<2>,cd	confidence:0.8375
<2>,cd,k -> <1>	confidence:1.0
<1>,<2>,k -> cd	confidence:0.9435215946843853
<2>,k -> <1>,cd	confidence:0.9435215946843853
<2>,cd,less -> <1>	confidence:1.0
<1>,<2>,less -> cd	confidence:0.9798657718120806
<2>,less -> <1>,cd	confidence:0.9798657718120806
<2>,cd,ll -> <1>	confidence:1.0
<1>,<2>,ll -> cd	confidence:0.9787798408488063
<2>,ll -> <1>,cd	confidence:0.9774834437086093
<2>,cd,ln -> <1>	confidence:1.0
<1>,cd,ln -> <2>	confidence:0.9555555555555556
cd,ln -> <1>,<2>	confidence:0.9555555555555556
<1>,<2>,ln -> cd	confidence:0.9923076923076923
<2>,ln -> <1>,cd	confidence:0.9772727272727273
<1>,ln -> <2>,cd	confidence:0.9485294117647058
ln -> <1>,<2>,cd	confidence:0.9347826086956522
<2>,cd,logout -> <1>	confidence:1.0
<1>,<2>,logout -> cd	confidence:0.8427672955974843
<2>,cd,ls -> <1>	confidence:1.0
<1>,<2>,ls -> cd	confidence:0.9391691394658753
<2>,ls -> <1>,cd	confidence:0.9288334556126192
<2>,cd,m -> <1>	confidence:1.0
<1>,<2>,m -> cd	confidence:0.9248554913294798
<2>,m -> <1>,cd	confidence:0.9090909090909091
<2>,cd,mail -> <1>	confidence:1.0
<2>,cd,make -> <1>	confidence:1.0
<1>,cd,make -> <2>	confidence:0.8269230769230769
cd,make -> <1>,<2>	confidence:0.8269230769230769
<1>,<2>,make -> cd	confidence:0.9923076923076923
<2>,make -> <1>,cd	confidence:0.9923076923076923
<1>,make -> <2>,cd	confidence:0.819047619047619
make -> <1>,<2>,cd	confidence:0.8164556962025317
<2>,cd,man -> <1>	confidence:1.0
<1>,cd,man -> <2>	confidence:0.8095238095238095
cd,man -> <1>,<2>	confidence:0.8095238095238095
<1>,<2>,man -> cd	confidence:0.9228571428571428
<2>,man -> <1>,cd	confidence:0.9228571428571428
<2>,cd,md -> <1>	confidence:1.0
<1>,cd,md -> <2>	confidence:0.9622641509433962
cd,md -> <1>,<2>	confidence:0.9622641509433962
<1>,<2>,md -> cd	confidence:0.9870967741935484
<2>,md -> <1>,cd	confidence:0.9870967741935484
<1>,md -> <2>,cd	confidence:0.9444444444444444
md -> <1>,<2>,cd	confidence:0.9444444444444444
<2>,cd,mkdir -> <1>	confidence:1.0
<1>,cd,mkdir -> <2>	confidence:0.9009009009009009
cd,mkdir -> <1>,<2>	confidence:0.9009009009009009
<1>,<2>,mkdir -> cd	confidence:0.9900990099009901
<2>,mkdir -> <1>,cd	confidence:0.9900990099009901
<1>,mkdir -> <2>,cd	confidence:0.8695652173913043
mkdir -> <1>,<2>,cd	confidence:0.8695652173913043
<2>,cd,more -> <1>	confidence:1.0
<1>,<2>,more -> cd	confidence:0.9331797235023042
<2>,more -> <1>,cd	confidence:0.9331797235023042
<2>,cd,mv -> <1>	confidence:1.0
<1>,cd,mv -> <2>	confidence:0.9930939226519337
cd,mv -> <1>,<2>	confidence:0.9930939226519337
<1>,<2>,mv -> cd	confidence:0.9535809018567639
<2>,mv -> <1>,cd	confidence:0.951058201058201
<1>,mv -> <2>,cd	confidence:0.9472990777338604
mv -> <1>,<2>,cd	confidence:0.9448094612352168
<2>,cd,pwd -> <1>	confidence:1.0
<1>,<2>,pwd -> cd	confidence:0.9831223628691983
<2>,pwd -> <1>,cd	confidence:0.9708333333333333
<2>,cd,quota -> <1>	confidence:1.0
<1>,<2>,quota -> cd	confidence:0.921875
<2>,cd,rlogin -> <1>	confidence:1.0
<1>,<2>,rlogin -> cd	confidence:0.8211009174311926
<2>,cd,rm -> <1>	confidence:1.0
<1>,<2>,rm -> cd	confidence:0.9562043795620438
<2>,rm -> <1>,cd	confidence:0.9542143600416233
<2>,cd,setenv -> <1>	confidence:1.0
<1>,cd,setenv -> <2>	confidence:0.9828571428571429
cd,setenv -> <1>,<2>	confidence:0.9828571428571429
<1>,<2>,setenv -> cd	confidence:0.819047619047619
<2>,cd,tail -> <1>	confidence:1.0
<1>,<2>,tail -> cd	confidence:0.9627329192546584
<2>,tail -> <1>,cd	confidence:0.9627329192546584
<2>,cd,tar -> <1>	confidence:1.0
<1>,cd,tar -> <2>	confidence:0.9414893617021277
cd,tar -> <1>,<2>	confidence:0.9414893617021277
<1>,<2>,tar -> cd	confidence:1.0
<2>,tar -> <1>,cd	confidence:1.0
<1>,tar -> <2>,cd	confidence:0.9365079365079365
tar -> <1>,<2>,cd	confidence:0.9365079365079365
<2>,cd,vi -> <1>	confidence:1.0
<1>,<2>,vi -> cd	confidence:0.9377859103385179
<2>,vi -> <1>,cd	confidence:0.9377859103385179
<2>,cd,wc -> <1>	confidence:1.0
<1>,cd,wc -> <2>	confidence:0.8415300546448088
cd,wc -> <1>,<2>	confidence:0.8415300546448088
<1>,<2>,wc -> cd	confidence:0.9808917197452229
<2>,wc -> <1>,cd	confidence:0.9808917197452229
<1>,wc -> <2>,cd	confidence:0.8235294117647058
wc -> <1>,<2>,cd	confidence:0.8235294117647058
<2>,cd,which -> <1>	confidence:1.0
<1>,<2>,which -> cd	confidence:0.9541984732824428
<2>,which -> <1>,cd	confidence:0.9541984732824428
<2>,cd,xlock -> <1>	confidence:1.0
<1>,<2>,xlock -> cd	confidence:0.928
<2>,xlock -> <1>,cd	confidence:0.9206349206349206
<2>,cd,z -> <1>	confidence:1.0
<1>,<2>,z -> cd	confidence:0.8498845265588915
<2>,cd,| -> <1>	confidence:1.0
<1>,<2>,| -> cd	confidence:0.9422110552763819
<2>,| -> <1>,cd	confidence:0.9422110552763819
<2>,chmod,ll -> <1>	confidence:0.9928057553956835
<1>,chmod,ll -> <2>	confidence:0.9928057553956835
chmod,ll -> <1>,<2>	confidence:0.9857142857142858
<2>,chmod,ls -> <1>	confidence:1.0
<1>,chmod,ls -> <2>	confidence:0.993103448275862
chmod,ls -> <1>,<2>	confidence:0.993103448275862
<2>,chmod,mv -> <1>	confidence:0.993006993006993
<1>,chmod,mv -> <2>	confidence:1.0
chmod,mv -> <1>,<2>	confidence:0.993006993006993
<2>,chmod,rm -> <1>	confidence:1.0
<1>,chmod,rm -> <2>	confidence:1.0
chmod,rm -> <1>,<2>	confidence:1.0
<2>,chmod,vi -> <1>	confidence:1.0
<1>,chmod,vi -> <2>	confidence:0.9936708860759493
chmod,vi -> <1>,<2>	confidence:0.9936708860759493
<2>,clear,ls -> <1>	confidence:0.9929577464788732
<2>,cp,elm -> <1>	confidence:1.0
<1>,cp,elm -> <2>	confidence:1.0
cp,elm -> <1>,<2>	confidence:1.0
<2>,cp,exit -> <1>	confidence:0.9936708860759493
<1>,cp,exit -> <2>	confidence:1.0
cp,exit -> <1>,<2>	confidence:0.9936708860759493
<2>,cp,fg -> <1>	confidence:1.0
<1>,cp,fg -> <2>	confidence:1.0
cp,fg -> <1>,<2>	confidence:1.0
<2>,cp,grep -> <1>	confidence:1.0
<1>,cp,grep -> <2>	confidence:1.0
cp,grep -> <1>,<2>	confidence:1.0
<2>,cp,ll -> <1>	confidence:1.0
<1>,cp,ll -> <2>	confidence:0.9900332225913622
cp,ll -> <1>,<2>	confidence:0.9900332225913622
<2>,cp,ls -> <1>	confidence:1.0
<1>,cp,ls -> <2>	confidence:0.9978902953586498
cp,ls -> <1>,<2>	confidence:0.9978902953586498
<2>,cp,m -> <1>	confidence:1.0
<1>,cp,m -> <2>	confidence:0.9920634920634921
cp,m -> <1>,<2>	confidence:0.9920634920634921
<2>,cp,make -> <1>	confidence:1.0
<1>,cp,make -> <2>	confidence:0.9928571428571429
cp,make -> <1>,<2>	confidence:0.9928571428571429
<2>,cp,man -> <1>	confidence:1.0
<1>,cp,man -> <2>	confidence:0.991869918699187
cp,man -> <1>,<2>	confidence:0.991869918699187
<2>,cp,more -> <1>	confidence:1.0
<1>,cp,more -> <2>	confidence:1.0
cp,more -> <1>,<2>	confidence:1.0
<2>,cp,mv -> <1>	confidence:1.0
<1>,cp,mv -> <2>	confidence:1.0
cp,mv -> <1>,<2>	confidence:1.0
<2>,cp,pwd -> <1>	confidence:1.0
<1>,cp,pwd -> <2>	confidence:1.0
cp,pwd -> <1>,<2>	confidence:1.0
<2>,cp,rm -> <1>	confidence:1.0
<1>,cp,rm -> <2>	confidence:1.0
cp,rm -> <1>,<2>	confidence:1.0
<2>,cp,vi -> <1>	confidence:1.0
<1>,cp,vi -> <2>	confidence:1.0
cp,vi -> <1>,<2>	confidence:1.0
<2>,cp,| -> <1>	confidence:1.0
<1>,cp,| -> <2>	confidence:1.0
cp,| -> <1>,<2>	confidence:1.0
<2>,ct,ll -> <1>	confidence:1.0
<2>,ct -> <1>,ll	confidence:0.968503937007874
<1>,<2>,ct -> ll	confidence:0.9761904761904762
<2>,date,ls -> <1>	confidence:1.0
<2>,date,vi -> <1>	confidence:1.0
<2>,diff,ls -> <1>	confidence:1.0
<1>,diff,ls -> <2>	confidence:0.9927536231884058
diff,ls -> <1>,<2>	confidence:0.9927536231884058
<2>,diff,rm -> <1>	confidence:1.0
<1>,diff,rm -> <2>	confidence:1.0
diff,rm -> <1>,<2>	confidence:1.0
<2>,diff,vi -> <1>	confidence:1.0
<1>,diff,vi -> <2>	confidence:0.9921875
diff,vi -> <1>,<2>	confidence:0.9921875
<2>,dir,ll -> <1>	confidence:1.0
<2>,dir,rm -> <1>	confidence:0.9912280701754386
<1>,dir,rm -> <2>	confidence:0.8432835820895522
dir,rm -> <1>,<2>	confidence:0.837037037037037
<2>,dir,vi -> <1>	confidence:1.0
<1>,dir,vi -> <2>	confidence:0.8171428571428572
dir,vi -> <1>,<2>	confidence:0.8171428571428572
<2>,elm,exit -> <1>	confidence:0.9641255605381166
<2>,elm,fg -> <1>	confidence:0.9906103286384976
<2>,elm,grep -> <1>	confidence:0.993006993006993
<1>,elm,grep -> <2>	confidence:0.8502994011976048
elm,grep -> <1>,<2>	confidence:0.8452380952380952
<2>,elm,ll -> <1>	confidence:0.9913793103448276
<2>,elm,ls -> <1>	confidence:0.9902439024390244
<2>,elm,mail -> <1>	confidence:0.9685534591194969
<2>,elm,more -> <1>	confidence:1.0
<2>,elm,mv -> <1>	confidence:0.9951219512195122
<1>,elm,mv -> <2>	confidence:0.9951219512195122
elm,mv -> <1>,<2>	confidence:0.9902912621359223
<2>,elm,rm -> <1>	confidence:1.0
<2>,elm,vi -> <1>	confidence:1.0
<2>,emacs,ll -> <1>	confidence:1.0
<2>,emacs,rm -> <1>	confidence:1.0
<2>,exit,grep -> <1>	confidence:0.9824561403508771
<2>,exit,ls -> <1>	confidence:0.9929078014184397
<2>,exit -> <1>,ls	confidence:0.8203125
<1>,<2>,exit -> ls	confidence:0.8786610878661087
<2>,exit,mail -> <1>	confidence:0.9568965517241379
<2>,exit,more -> <1>	confidence:1.0
<2>,exit,mv -> <1>	confidence:1.0
<1>,exit,mv -> <2>	confidence:1.0
exit,mv -> <1>,<2>	confidence:1.0
<2>,exit,rm -> <1>	confidence:1.0
<2>,exit,vi -> <1>	confidence:1.0
<2>,f,ll -> <1>	confidence:1.0
<1>,f,ll -> <2>	confidence:0.8181818181818182
f,ll -> <1>,<2>	confidence:0.8181818181818182
<2>,fg,grep -> <1>	confidence:0.9912280701754386
<1>,fg,grep -> <2>	confidence:0.8828125
fg,grep -> <1>,<2>	confidence:0.875968992248062
<2>,fg,ll -> <1>	confidence:1.0
<2>,fg,ls -> <1>	confidence:0.9914893617021276
<2>,fg,mv -> <1>	confidence:1.0
<1>,fg,mv -> <2>	confidence:1.0
fg,mv -> <1>,<2>	confidence:1.0
<2>,fg,rm -> <1>	confidence:1.0
<2>,fg,vi -> <1>	confidence:1.0
<2>,findall,k -> <1>	confidence:1.0
<1>,findall,k -> <2>	confidence:0.8263888888888888
findall,k -> <1>,<2>	confidence:0.8263888888888888
<2>,findall,ll -> <1>	confidence:1.0
<2>,findall -> <1>,ll	confidence:0.8285714285714286
<1>,<2>,findall -> ll	confidence:0.8579881656804734
<2>,finger,ls -> <1>	confidence:1.0
<2>,finger,rm -> <1>	confidence:1.0
<2>,finger,vi -> <1>	confidence:1.0
<2>,grep,ll -> <1>	confidence:1.0
<1>,grep,ll -> <2>	confidence:0.9634146341463414
grep,ll -> <1>,<2>	confidence:0.9634146341463414
<2>,grep,ls -> <1>	confidence:1.0
<1>,grep,ls -> <2>	confidence:0.8731117824773413
grep,ls -> <1>,<2>	confidence:0.8731117824773413
<2>,grep,m -> <1>	confidence:1.0
<1>,grep,m -> <2>	confidence:0.9911504424778761
grep,m -> <1>,<2>	confidence:0.9911504424778761
<2>,grep,make -> <1>	confidence:1.0
<1>,grep,make -> <2>	confidence:0.9689922480620154
grep,make -> <1>,<2>	confidence:0.9689922480620154
<2>,grep,man -> <1>	confidence:1.0
<1>,grep,man -> <2>	confidence:0.9256198347107438
grep,man -> <1>,<2>	confidence:0.9256198347107438
<2>,grep,mv -> <1>	confidence:1.0
<1>,grep,mv -> <2>	confidence:1.0
grep,mv -> <1>,<2>	confidence:1.0
<2>,grep,rm -> <1>	confidence:1.0
<1>,grep,rm -> <2>	confidence:0.9038461538461539
grep,rm -> <1>,<2>	confidence:0.9038461538461539
<2>,grep,vi -> <1>	confidence:1.0
<1>,grep,vi -> <2>	confidence:0.9382352941176471
grep,vi -> <1>,<2>	confidence:0.9382352941176471
<2>,grep,| -> <1>	confidence:1.0
<2>,k,ll -> <1>	confidence:1.0
<1>,k,ll -> <2>	confidence:0.8148148148148148
k,ll -> <1>,<2>	confidence:0.8148148148148148
<2>,k -> <1>,ll	confidence:0.9501661129568106
<1>,<2>,k -> ll	confidence:0.9501661129568106
<2>,k,m -> <1>	confidence:1.0
<1>,k,m -> <2>	confidence:0.8691588785046729
k,m -> <1>,<2>	confidence:0.8651162790697674
<2>,k,man -> <1>	confidence:1.0
<1>,k,man -> <2>	confidence:0.92
k,man -> <1>,<2>	confidence:0.92
<2>,k,rm -> <1>	confidence:1.0
<1>,k,rm -> <2>	confidence:0.9024390243902439
k,rm -> <1>,<2>	confidence:0.9024390243902439
<2>,k,vi -> <1>	confidence:1.0
<1>,k,vi -> <2>	confidence:0.9130434782608695
k,vi -> <1>,<2>	confidence:0.9130434782608695
<2>,k,z -> <1>	confidence:1.0
<2>,less,ls -> <1>	confidence:1.0
<2>,less -> <1>,ls	confidence:0.8590604026845637
<1>,<2>,less -> ls	confidence:0.8590604026845637
<2>,ll,ls -> <1>	confidence:1.0
<2>,ll,m -> <1>	confidence:1.0
<1>,<2>,m -> ll	confidence:0.8208092485549133
<2>,m -> <1>,ll	confidence:0.8068181818181818
<2>,ll,make -> <1>	confidence:1.0
<1>,ll,make -> <2>	confidence:0.948051948051948
ll,make -> <1>,<2>	confidence:0.948051948051948
<2>,ll,man -> <1>	confidence:1.0
<1>,ll,man -> <2>	confidence:0.852589641434263
ll,man -> <1>,<2>	confidence:0.852589641434263
<2>,ll,md -> <1>	confidence:1.0
<1>,ll,md -> <2>	confidence:0.9556962025316456
ll,md -> <1>,<2>	confidence:0.9556962025316456
<1>,<2>,md -> ll	confidence:0.9741935483870968
<2>,md -> <1>,ll	confidence:0.9741935483870968
<1>,md -> <2>,ll	confidence:0.9320987654320988
md -> <1>,<2>,ll	confidence:0.9320987654320988
<2>,ll,mv -> <1>	confidence:0.9967532467532467
<1>,ll,mv -> <2>	confidence:0.9967532467532467
ll,mv -> <1>,<2>	confidence:0.9935275080906149
<2>,ll,rm -> <1>	confidence:1.0
<1>,ll,rm -> <2>	confidence:0.841541755888651
ll,rm -> <1>,<2>	confidence:0.841541755888651
<2>,ll,vi -> <1>	confidence:1.0
<1>,ll,vi -> <2>	confidence:0.8003802281368821
ll,vi -> <1>,<2>	confidence:0.8003802281368821
<2>,ll,wc -> <1>	confidence:1.0
<1>,ll,wc -> <2>	confidence:0.8888888888888888
ll,wc -> <1>,<2>	confidence:0.8888888888888888
<2>,ll,z -> <1>	confidence:1.0
<2>,ll,| -> <1>	confidence:1.0
<1>,ll,| -> <2>	confidence:0.896551724137931
ll,| -> <1>,<2>	confidence:0.896551724137931
<2>,ls,mail -> <1>	confidence:0.9812206572769953
<1>,<2>,mail -> ls	confidence:0.8565573770491803
<2>,mail -> <1>,ls	confidence:0.806949806949807
<2>,ls,make -> <1>	confidence:1.0
<1>,ls,make -> <2>	confidence:0.8585858585858586
ls,make -> <1>,<2>	confidence:0.8585858585858586
<2>,ls,man -> <1>	confidence:1.0
<2>,ls,mkdir -> <1>	confidence:1.0
<1>,ls,mkdir -> <2>	confidence:0.8862559241706162
ls,mkdir -> <1>,<2>	confidence:0.8862559241706162
<1>,<2>,mkdir -> ls	confidence:0.9257425742574258
<2>,mkdir -> <1>,ls	confidence:0.9257425742574258
<1>,mkdir -> <2>,ls	confidence:0.8130434782608695
mkdir -> <1>,<2>,ls	confidence:0.8130434782608695
<2>,ls,more -> <1>	confidence:1.0
<1>,<2>,more -> ls	confidence:0.9262672811059908
<2>,more -> <1>,ls	confidence:0.9262672811059908
<2>,ls,mv -> <1>	confidence:0.9982046678635548
<1>,ls,mv -> <2>	confidence:0.996415770609319
ls,mv -> <1>,<2>	confidence:0.9946332737030411
<2>,ls,pwd -> <1>	confidence:1.0
<2>,ls,rlogin -> <1>	confidence:0.9925925925925926
<2>,ls,rm -> <1>	confidence:0.9971139971139971
<2>,ls,setenv -> <1>	confidence:0.9508196721311475
<1>,ls,setenv -> <2>	confidence:0.9666666666666667
ls,setenv -> <1>,<2>	confidence:0.9206349206349206
<2>,ls,vi -> <1>	confidence:1.0
<2>,ls,| -> <1>	confidence:1.0
<2>,m,man -> <1>	confidence:1.0
<1>,m,man -> <2>	confidence:0.9097744360902256
m,man -> <1>,<2>	confidence:0.9097744360902256
<2>,m,mv -> <1>	confidence:1.0
<1>,m,mv -> <2>	confidence:1.0
m,mv -> <1>,<2>	confidence:1.0
<2>,m,rm -> <1>	confidence:0.9947916666666666
<1>,m,rm -> <2>	confidence:0.8603603603603603
m,rm -> <1>,<2>	confidence:0.8565022421524664
<2>,m,vi -> <1>	confidence:1.0
<1>,m,vi -> <2>	confidence:0.8133971291866029
m,vi -> <1>,<2>	confidence:0.8133971291866029
<2>,m,z -> <1>	confidence:0.9829545454545454
<2>,mail,rm -> <1>	confidence:1.0
<2>,mail,vi -> <1>	confidence:1.0
<2>,make,mv -> <1>	confidence:1.0
<1>,make,mv -> <2>	confidence:1.0
make,mv -> <1>,<2>	confidence:1.0
<2>,make,rm -> <1>	confidence:1.0
<1>,make,rm -> <2>	confidence:0.892018779342723
make,rm -> <1>,<2>	confidence:0.892018779342723
<2>,make,vi -> <1>	confidence:1.0
<1>,make,vi -> <2>	confidence:0.8840579710144928
make,vi -> <1>,<2>	confidence:0.8840579710144928
<2>,man,mv -> <1>	confidence:1.0
<1>,man,mv -> <2>	confidence:1.0
man,mv -> <1>,<2>	confidence:1.0
<2>,man,rm -> <1>	confidence:1.0
<1>,man,rm -> <2>	confidence:0.8978723404255319
man,rm -> <1>,<2>	confidence:0.8978723404255319
<2>,man,vi -> <1>	confidence:1.0
<1>,man,vi -> <2>	confidence:0.8539325842696629
man,vi -> <1>,<2>	confidence:0.8539325842696629
<2>,man,z -> <1>	confidence:1.0
<2>,mkdir,mv -> <1>	confidence:1.0
<1>,mkdir,mv -> <2>	confidence:1.0
mkdir,mv -> <1>,<2>	confidence:1.0
<2>,mkdir,rm -> <1>	confidence:1.0
<1>,mkdir,rm -> <2>	confidence:0.9772727272727273
mkdir,rm -> <1>,<2>	confidence:0.9772727272727273
<2>,mkdir,vi -> <1>	confidence:1.0
<1>,mkdir,vi -> <2>	confidence:0.9366197183098591
