&,-l,<1>,<2>,cd : 131
<2>,cd,grep,rm,vi : 181
<2>,cd,grep,vi,| : 138
<2>,cd,k,ll,m : 180
<2>,cd,k,ll,man : 111
<2>,cd,k,ll,rm : 144
<2>,cd,k,ll,vi : 140
<2>,cd,k,ll,z : 185
<2>,cd,k,m,z : 120
<2>,cd,ll,ls,mv : 129
<2>,cd,ll,ls,rm : 163
<2>,cd,ll,ls,vi : 151
<2>,cd,ll,m,man : 113
<2>,cd,ll,m,mv : 130
<2>,cd,ll,m,rm : 162
<2>,cd,ll,m,vi : 154
<2>,cd,ll,m,z : 149
<2>,cd,ll,man,rm : 138
<2>,cd,ll,man,vi : 146
<2>,cd,ll,mv,rm : 200
<2>,cd,ll,mv,vi : 198
<2>,cd,ll,rm,vi : 254
<2>,cd,ll,rm,| : 114
<2>,cd,ll,vi,z : 119
<2>,cd,ll,vi,| : 126
<2>,cd,ls,mail,vi : 135
<2>,cd,ls,make,rm : 131
<2>,cd,ls,make,vi : 123
<2>,cd,ls,mkdir,mv : 146
<2>,cd,ls,mkdir,rm : 121
<2>,cd,ls,mkdir,vi : 118
<2>,cd,ls,more,mv : 167
<2>,cd,ls,more,rm : 224
<2>,cd,ls,more,vi : 249
<2>,cd,ls,more,| : 131
<2>,cd,ls,mv,rm : 366
<2>,cd,ls,mv,vi : 334
<2>,cd,ls,mv,| : 136
<2>,cd,ls,pwd,vi : 121
<2>,cd,ls,rm,vi : 392
<2>,cd,ls,rm,| : 163
<2>,cd,ls,vi,| : 173
<2>,cd,make,rm,vi : 143
<2>,cd,man,rm,vi : 154
<2>,cd,more,mv,rm : 125
<2>,cd,more,mv,vi : 122
<2>,cd,more,rm,vi : 149
<2>,cd,mv,rm,vi : 304
<2>,cd,mv,rm,| : 141
<2>,cd,mv,vi,| : 141
<2>,cd,pwd,rm,vi : 114
<2>,cd,rm,vi,| : 160
<2>,cp,exit,ls,vi : 119
<2>,cp,ll,mv,rm : 118
<2>,cp,ll,rm,vi : 151
<2>,cp,ls,more,vi : 111
<2>,cp,ls,mv,rm : 180
<2>,cp,ls,mv,vi : 180
<2>,cp,ls,rm,vi : 217
<2>,cp,mv,rm,vi : 180
<2>,elm,exit,ls,rm : 112
<2>,elm,exit,ls,vi : 134
<2>,elm,fg,ls,vi : 130
<2>,elm,ls,more,vi : 115
<2>,elm,ls,mv,rm : 122
<2>,elm,ls,mv,vi : 128
<2>,elm,ls,rm,vi : 172
<2>,exit,ls,mv,rm : 124
<2>,exit,ls,mv,vi : 121
<2>,exit,ls,rm,vi : 151
<2>,grep,ls,rm,vi : 125
<2>,k,ll,m,z : 124
<2>,ll,ls,rm,vi : 114
<2>,ll,mv,rm,vi : 143
<2>,ls,more,mv,rm : 129
<2>,ls,more,mv,vi : 124
<2>,ls,more,rm,vi : 151
<2>,ls,mv,rm,vi : 246
<2>,ls,rm,vi,| : 116
>,cd,ll,rm,vi : 118
cat,cd,ll,rm,vi : 119
cd,cp,exit,ls,vi : 114
cd,cp,ll,mv,rm : 117
cd,cp,ll,rm,vi : 149
cd,cp,ls,mv,rm : 178
cd,cp,ls,mv,vi : 178
cd,cp,ls,rm,vi : 213
cd,cp,mv,rm,vi : 177
cd,elm,exit,ls,mail : 117
cd,elm,exit,ls,rm : 166
cd,elm,exit,ls,vi : 213
cd,elm,exit,rm,vi : 115
cd,elm,fg,ls,rm : 114
cd,elm,fg,ls,vi : 194
cd,elm,fg,rm,vi : 113
cd,elm,ls,mail,vi : 152
cd,elm,ls,more,rm : 130
cd,elm,ls,more,vi : 167
cd,elm,ls,mv,rm : 113
cd,elm,ls,mv,vi : 119
cd,elm,ls,rm,vi : 229
cd,exit,ls,more,vi : 154
cd,exit,ls,mv,rm : 116
cd,exit,ls,mv,vi : 112
cd,exit,ls,rm,vi : 197
cd,fg,ls,rm,vi : 125
cd,grep,ls,rm,vi : 132
cd,k,ll,m,rm : 114
cd,k,ll,m,vi : 115
cd,k,ll,m,z : 136
cd,ll,ls,rm,vi : 125
cd,ll,mv,rm,vi : 141
cd,ls,make,rm,vi : 114
cd,ls,more,mv,rm : 126
cd,ls,more,mv,vi : 122
cd,ls,more,rm,vi : 192
cd,ls,more,vi,| : 129
cd,ls,mv,rm,vi : 237
cd,ls,rm,vi,| : 135
cp,ls,mv,rm,vi : 139
elm,exit,ls,rm,vi : 134
elm,fg,ls,rm,vi : 112
elm,ls,more,rm,vi : 111
